year,borough,major_category,total_crime,Latitude,Longitude
2008,Barking and Dagenham,Burglary,1764,0.133158,51.5465
2008,Barking and Dagenham,Criminal Damage,2934,0.133158,51.5465
2008,Barking and Dagenham,Drugs,1467,0.133158,51.5465
2008,Barking and Dagenham,Other Notifiable Offences,253,0.133158,51.5465
2008,Barking and Dagenham,Robbery,635,0.133158,51.5465
2008,Barking and Dagenham,Theft and Handling,5354,0.133158,51.5465
2008,Barking and Dagenham,Violence Against the Person,4995,0.133158,51.5465
2008,Barnet,Burglary,3750,-0.19622,51.6455
2008,Barnet,Criminal Damage,2918,-0.19622,51.6455
2008,Barnet,Drugs,1264,-0.19622,51.6455
2008,Barnet,Other Notifiable Offences,297,-0.19622,51.6455
2008,Barnet,Robbery,794,-0.19622,51.6455
2008,Barnet,Theft and Handling,9872,-0.19622,51.6455
2008,Barnet,Violence Against the Person,4836,-0.19622,51.6455
2008,Bexley,Burglary,2284,0.110969,51.45964
2008,Bexley,Criminal Damage,2893,0.110969,51.45964
2008,Bexley,Drugs,996,0.110969,51.45964
2008,Bexley,Other Notifiable Offences,148,0.110969,51.45964
2008,Bexley,Robbery,349,0.110969,51.45964
2008,Bexley,Theft and Handling,5236,0.110969,51.45964
2008,Bexley,Violence Against the Person,3271,0.110969,51.45964
2008,Brent,Burglary,3266,-0.271275,51.5436
2008,Brent,Criminal Damage,2504,-0.271275,51.5436
2008,Brent,Drugs,2813,-0.271275,51.5436
2008,Brent,Other Notifiable Offences,274,-0.271275,51.5436
2008,Brent,Robbery,1555,-0.271275,51.5436
2008,Brent,Theft and Handling,7206,-0.271275,51.5436
2008,Brent,Violence Against the Person,5690,-0.271275,51.5436
2008,Bromley,Burglary,3447,0.01493,51.4057
2008,Bromley,Criminal Damage,4230,0.01493,51.4057
2008,Bromley,Drugs,1089,0.01493,51.4057
2008,Bromley,Other Notifiable Offences,220,0.01493,51.4057
2008,Bromley,Robbery,762,0.01493,51.4057
2008,Bromley,Theft and Handling,8809,0.01493,51.4057
2008,Bromley,Violence Against the Person,5231,0.01493,51.4057
2008,Camden,Burglary,3575,-0.12796,51.53236
2008,Camden,Criminal Damage,2629,-0.12796,51.53236
2008,Camden,Drugs,3982,-0.12796,51.53236
2008,Camden,Other Notifiable Offences,459,-0.12796,51.53236
2008,Camden,Robbery,913,-0.12796,51.53236
2008,Camden,Theft and Handling,14394,-0.12796,51.53236
2008,Camden,Violence Against the Person,5899,-0.12796,51.53236
2008,Croydon,Burglary,3737,-0.073803,51.36496
2008,Croydon,Criminal Damage,4511,-0.073803,51.36496
2008,Croydon,Drugs,2798,-0.073803,51.36496
2008,Croydon,Other Notifiable Offences,386,-0.073803,51.36496
2008,Croydon,Robbery,1394,-0.073803,51.36496
2008,Croydon,Theft and Handling,9604,-0.073803,51.36496
2008,Croydon,Violence Against the Person,6761,-0.073803,51.36496
2008,Ealing,Burglary,3837,-0.29991,51.51407
2008,Ealing,Criminal Damage,3365,-0.29991,51.51407
2008,Ealing,Drugs,3083,-0.29991,51.51407
2008,Ealing,Other Notifiable Offences,410,-0.29991,51.51407
2008,Ealing,Robbery,1308,-0.29991,51.51407
2008,Ealing,Theft and Handling,9562,-0.29991,51.51407
2008,Ealing,Violence Against the Person,7155,-0.29991,51.51407
2008,Enfield,Burglary,3819,-0.076348,51.667797
2008,Enfield,Criminal Damage,3379,-0.076348,51.667797
2008,Enfield,Drugs,2125,-0.076348,51.667797
2008,Enfield,Other Notifiable Offences,247,-0.076348,51.667797
